LineID,StartPointID,EndPointID
L1,J0,B0
L2,J1,J2
L3,J3,B3
L4,J4,J5
L5,T2,T9
L6,J6,J7
L7,J8,B8
L8,J9,B9
L9,J10,T7
L10,J11,B11
L11,J12,J13
L12,J0,B1
L13,B2,J10
L14,T0,J3
L15,J4,J9
L16,J5,B7
L17,T1,J6
L18,T4,T8
L19,T5,J11
L20,J7,T6
L21,J8,B4
L22,J1,T3
L23,J2,B6
L24,B10,J13
L25,B5,J12
L26,T12,T10
L27,T13,T11
L28,J14,J15
L29,J15,J16
L30,J16,J17
L31,J17,J14
L32,J19,J20
L33,J20,J21
L34,J21,J18
L35,J18,J19
