10,5.000000e-01,6.758628e+00,7.977655e-01
10,5.000000e-01,4.009772e-01,1.298428e-01
20,5.000000e-01,7.035763e+00,6.830325e-01
20,5.000000e-01,4.808510e-01,1.058423e-01
40,5.000000e-01,7.689601e+00,6.673423e-01
40,5.000000e-01,6.488252e-01,1.013776e-01
80,5.000000e-01,9.082486e+00,7.087389e-01
80,5.000000e-01,9.063505e-01,1.006760e-01
160,5.000000e-01,1.150526e+01,7.475888e-01
160,5.000000e-01,1.277684e+00,1.006705e-01
10,4.750000e-01,4.816352e+00,7.149164e-01
10,4.750000e-01,1.983493e-01,7.202488e-02
20,4.750000e-01,4.550988e+00,4.800720e-01
20,4.750000e-01,1.997009e-01,4.510232e-02
40,4.750000e-01,4.441475e+00,3.187028e-01
40,4.750000e-01,2.530605e-01,3.967492e-02
80,4.750000e-01,4.720788e+00,2.849357e-01
80,4.750000e-01,3.487646e-01,3.876071e-02
160,4.750000e-01,5.522788e+00,3.012920e-01
160,4.750000e-01,4.912037e-01,3.870624e-02
10,4.875000e-01,4.462069e+00,8.227598e-01
10,4.875000e-01,1.462943e-01,6.035680e-02
20,4.875000e-01,3.983479e+00,5.443245e-01
20,4.875000e-01,1.214600e-01,2.893977e-02
40,4.875000e-01,3.545188e+00,3.018351e-01
40,4.875000e-01,1.360449e-01,2.151433e-02
80,4.875000e-01,3.370452e+00,1.782741e-01
80,4.875000e-01,1.803025e-01,2.006318e-02
160,4.875000e-01,3.550661e+00,1.520091e-01
160,4.875000e-01,2.523026e-01,1.988588e-02
10,5.000000e-01,4.381739e+00,9.199356e-01
10,5.000000e-01,1.255330e-01,5.720267e-02
20,5.000000e-01,3.785633e+00,6.205763e-01
20,5.000000e-01,8.963304e-02,2.287595e-02
40,5.000000e-01,3.155952e+00,3.452486e-01
40,5.000000e-01,8.268285e-02,1.331841e-02
80,5.000000e-01,2.721395e+00,1.756575e-01
80,5.000000e-01,9.810071e-02,1.094665e-02
160,5.000000e-01,2.553065e+00,9.799211e-02
160,5.000000e-01,1.332136e-01,1.050483e-02
