LineID,StartPointID,EndPointID
L1,T11,T0
L2,T12,T2
L3,J0,J1
L4,J0,T3
L5,T1,T5
L6,J1,T7
L7,J2,J3
L8,J2,J4
L9,T4,J5
L10,T6,J6
L11,J3,J7
L12,J4,J5
L13,J6,J7
L14,T8,J8
L15,T9,J9
L16,J8,J9
L17,T10,T13
L18,J10,J11
L19,J10,J14
L20,J11,J15
L21,J14,J15
L22,J12,J13
L23,J12,J16
L24,J13,J17
L25,J16,J17
L26,J18,J19
L27,J18,J20
L28,J19,J21
L29,J20,J21
